Call Letters,Frequency,Station Name,Brand,Format,Town,Province,Website,Stream URL
CJMG,97.1,97.1 GO FM,GO FM,Hot AC,Penticton,ON,https://www.mysouthokanagannow.com,https://vistaradio.streamb.live/SB00393?args=web_01
CKOR,800,800 Summit AM,Summit,Classic Hits,Penticton,ON,https://www.mysouthokanagannow.com,https://vistaradio.streamb.live/SB00394?args=web_01
CJOR,1240,1240 Summit AM,Summit,Classic Hits,Osoyoos,BC,https://www.mysouthokanagannow.com,https://vistaradio.streamb.live/SB00395?args=web_01
CHOR,98.5,98.5 Summit FM,Summit,Classic Hits,Summerland,BC,https://www.mysummerlandnow.com,https://vistaradio.streamb.live/SB00387?args=web_01
CKKC,106.9,106.9 Summit FM,Summit,Classic Hits,Nelson,ON,https://www.mynelsonnow.com,https://vistaradio.streamb.live/SB00389?args=web_01
CJAT,95.7,95.7 Summit FM,Summit,Classic Hits,Trail,BC,https://www.mykootenaynow.com,https://vistaradio.streamb.live/SB00388?args=web_01
CHRX,98.5,98.5 GO FM,GO FM,Hot AC,Fort St. John,BC,https://www.mypeaceregionnow.com,https://vistaradio.streamb.live/SB00404?args=web_01
CKNL,101.5,101.5 The GOAT,The GOAT,Rock,Fort St. John,BC,https://www.mypeaceregionnow.com,https://vistaradio.streamb.live/SB00405?args=web_01
CJDC,890,890 The Ranch,The Ranch,Country,Dawson Creek,ON,https://www.mypeaceregionnow.com,https://vistaradio.streamb.live/SB00406?args=web_01
CKRX,102.3,102.3 Summit FM,Summit,Classic Hits,Fort Nelson,ON,https://www.myfortnelsonnow.com,https://vistaradio.streamb.live/SB00407?args=web_01
CFTK,590,590 Summit AM,Summit,Classic Hits,Terrace,BC,https://www.myterracenow.com,https://vistaradio.streamb.live/SB00400?args=web_01
CJFW,103.1,103.1 The River,The River,Country,Terrace,BC,https://www.myterracenow.com,https://vistaradio.streamb.live/SB00401?args=web_01
CHTK,99.1,99.1 Coast FM,Coast,Classic Hits,Prince Rupert,BC,https://www.myprincerupertnow.com,https://vistaradio.streamb.live/SB00402?args=web_01
CKTK,97.7,97.7 Summit FM,Summit,Classic Hits,Kitimat,BC,https://www.mykitimatnow.com,https://vistaradio.streamb.live/SB00403?args=web_01
